time_ms,time_iso,open,high,low,close,volume_base,volume_quote
1755777600000,2025-08-21T12:00:00.000Z,113130.9,113182.8,113064.0,113132.0,196.7864,22263354.62368
1755778500000,2025-08-21T12:15:00.000Z,113132.0,113316.9,112981.3,113198.8,496.8254,56235925.93618
1755779400000,2025-08-21T12:30:00.000Z,113198.8,113375.3,113110.1,113118.1,619.7032,70178061.63306
1755780300000,2025-08-21T12:45:00.000Z,113118.1,113118.2,112908.4,113062.1,644.0906,72767785.60703999
1755781200000,2025-08-21T13:00:00.000Z,113062.1,113226.3,113012.6,113141.0,536.8188,60738506.20512
1755782100000,2025-08-21T13:15:00.000Z,113141.0,113321.5,113088.4,113282.8,598.1004,67743355.15562001
1755783000000,2025-08-21T13:30:00.000Z,113282.8,113557.3,113095.7,113497.6,1163.7954,131936658.36877999
1755783900000,2025-08-21T13:45:00.000Z,113497.6,113669.5,113100.0,113439.7,1328.4262,150734282.85556
1755784800000,2025-08-21T14:00:00.000Z,113439.7,113831.1,113298.8,113788.3,967.9838,110010823.44018
1755785700000,2025-08-21T14:15:00.000Z,113788.3,113934.4,113557.0,113673.7,683.8514,77781280.34882
1755786600000,2025-08-21T14:30:00.000Z,113673.7,113673.8,112860.0,113143.5,1777.1402,201060124.36344
1755787500000,2025-08-21T14:45:00.000Z,113143.5,113360.5,112982.7,113240.8,617.084,69829897.4533
1755788400000,2025-08-21T15:00:00.000Z,113240.8,113345.0,112669.8,112669.9,1069.8998,120785088.6912
1755789300000,2025-08-21T15:15:00.000Z,112669.9,113142.8,112561.2,112987.3,1426.167,160934766.28834
1755790200000,2025-08-21T15:30:00.000Z,112987.3,113110.1,112846.2,112981.3,347.9616,39319613.7431
1755791100000,2025-08-21T15:45:00.000Z,112981.3,112981.3,112724.9,112753.9,407.439,45971259.15778
1755792000000,2025-08-21T16:00:00.000Z,112753.9,112895.2,112611.0,112806.2,740.586,83486550.03918001
1755792900000,2025-08-21T16:15:00.000Z,112806.2,112946.3,112592.6,112704.0,359.0404,40481942.99322
1755793800000,2025-08-21T16:30:00.000Z,112704.0,112850.0,112544.6,112584.5,446.6324,50317495.32902
1755794700000,2025-08-21T16:45:00.000Z,112584.5,112627.6,112278.3,112343.5,1320.6222,148479075.2665
1755795600000,2025-08-21T17:00:00.000Z,112343.5,112417.7,112158.6,112200.6,1202.5332,134999860.62594
1755796500000,2025-08-21T17:15:00.000Z,112200.6,112390.5,112180.0,112211.4,774.824,86986319.91666001
1755797400000,2025-08-21T17:30:00.000Z,112211.4,112575.8,112165.4,112414.6,731.1538,82188669.00112
1755798300000,2025-08-21T17:45:00.000Z,112414.6,112531.9,112291.2,112386.2,415.1312,46661158.4834
1755799200000,2025-08-21T18:00:00.000Z,112386.2,112433.7,112215.0,112335.6,543.6924,61076186.09165999
1755800100000,2025-08-21T18:15:00.000Z,112335.6,112586.5,112270.7,112473.4,472.3426,53134594.8556
1755801000000,2025-08-21T18:30:00.000Z,112473.4,112476.2,112311.1,112325.0,244.1914,27446259.52552
1755801900000,2025-08-21T18:45:00.000Z,112325.0,112633.7,112186.9,112562.6,775.7866,87217221.185
1755802800000,2025-08-21T19:00:00.000Z,112562.6,112689.0,112508.9,112524.5,315.7274,35555594.68312
1755803700000,2025-08-21T19:15:00.000Z,112524.5,112582.2,112117.9,112216.2,612.7948,68775475.51154
1755804600000,2025-08-21T19:30:00.000Z,112216.2,112243.6,111966.2,112062.3,1455.5974,163124318.40336
