time,open,high,low,close,volume
2018-06-30 16:00:00,8249.01,8307.71,7671.35,7745.57,48.2853
2018-07-31 16:00:00,7745.57,7828.36,5885.86,6956.55,365.0918
2018-08-31 16:00:00,6956.55,7416.975,6122.3,6607.38,4032.2378
2018-09-30 16:00:00,6607.38,7573.65,6208.53,6393.85,13589.4536
2018-10-31 16:00:00,6393.85,6611.08,3656.54,4029.24,202807.8917
2018-11-30 16:00:00,4029.24,4311.46,3156.3,3753.0,502441.0374
2018-12-31 16:00:00,3753.0,4062.43,3296.58,3435.93,405210.2694
2019-01-31 16:00:00,3435.93,4197.58,3380.69,3854.09,408604.0291
2019-02-28 16:00:00,3854.09,4199.26,3672.82,4097.21,292836.9774
2019-03-31 16:00:00,4097.21,6031.01,4071.16,5311.26,357675.1651
2019-04-30 16:00:00,5311.26,9067.44,5287.82,8352.36,658675.9979
2019-05-31 16:00:00,8352.36,13965.28,7458.38,11164.61,993732.1405
2019-06-30 16:00:00,11164.61,13140.61,9063.91,10038.41,1620106.7211
2019-07-31 16:00:00,10038.41,12290.73,8091.68,9594.56,2037237.9259
2019-08-31 16:00:00,9594.56,10907.02,7712.5,8284.09,1748434.4522
2019-09-30 16:00:00,8284.09,10360.01,7304.46,9213.49,3185241.1508
2019-10-31 16:00:00,9213.49,9508.08,6516.11,7538.99,2047032.4547
2019-11-30 16:00:00,7538.99,7743.7,6435.1,7197.06,805983.1412
2019-12-31 16:00:00,7197.06,9577.79,6871.57,9338.72,1787494.5777
2020-01-31 16:00:00,9338.72,10492.16,8445.2,8648.51,1644613.0251
2020-02-29 16:00:00,8648.51,9188.56,3802.28,6455.23,1598364.5085
2020-03-31 16:00:00,6455.23,9451.75,6152.58,8779.99,1877584.9555
2020-04-30 16:00:00,8779.99,10056.77,8135.24,9480.5,1904633.832
2020-05-31 16:00:00,9480.5,10364.38,8840.74,9168.89,1684541.7968
2020-06-30 16:00:00,9168.89,11386.04,8914.99,11348.09,1163465.7306
2020-07-31 16:00:00,11348.09,12462.36,10513.97,11741.06,1065216.8416
2020-08-31 16:00:00,11741.06,12050.13,9785.0,10777.61,930116.4663
2020-09-30 16:00:00,10777.61,14094.96,10374.91,13854.98,1004161.614
2020-10-31 16:00:00,13854.98,19877.37,13205.73,19318.7,903289.7782
2020-11-30 16:00:00,19318.7,31000.0,17529.21,28780.12,955267.8781
2020-12-31 16:00:00,28780.12,41899.99,27823.03,32893.19,1057332.2338
2021-01-31 16:00:00,32893.19,58326.18,32172.47,43400.0,976516.0706
2021-02-28 16:00:00,43400.0,61794.11,43016.49,59281.25,732518.1017
2021-03-31 16:00:00,59281.25,64852.07,47000.06,57114.92,626935.5244
2021-04-30 16:00:00,57195.97,59528.96,29197.09,36965.4,254078.0762
2021-05-31 16:00:00,36960.84,41317.96,28820.14,34196.37,314839.5647
2021-06-30 16:00:00,34195.6,42328.19,29301.14,41546.65,326264.3674
2021-07-31 16:00:00,41546.94,50484.64,37361.99,47400.94,303723.5297
2021-08-31 16:00:00,47399.35,52890.63,39632.62,43139.26,181777.3952
2021-09-30 16:00:00,43139.26,66970.35,42851.16,61375.54,219521.8419
2021-10-31 16:00:00,60462.24,68996.84,53288.05,57269.69,206511.4426
2021-11-30 16:00:00,57269.69,59046.17,42191.64,47957.15,220834.5523
2021-12-31 16:00:00,47957.15,48113.25,32949.67,37703.14,248533.1383
2022-01-31 16:00:00,37703.14,45820.51,34335.58,40827.34,126747.4908
2022-02-28 16:00:00,40827.34,48175.97,37158.46,46447.96,78027.7447
2022-03-31 16:00:00,46447.96,47433.45,37726.26,38469.08,91673.7728
2022-04-30 16:00:00,38469.08,40001.87,26732.07,32064.35,335485.1557
2022-05-31 16:00:00,32064.35,32399.0,17629.81,19143.45,684118.3896
2022-06-30 16:00:00,19143.45,24658.57,18642.73,23773.72,398823.4855
2022-07-31 16:00:00,23773.72,25205.0,19525.57,20142.55,233737.2765
2022-08-31 16:00:00,20142.55,22774.96,18144.94,19752.72,296364.5581
