time,open,high,low,close,volume
2025-10-18 13:00:00,107067.01,107083.98,106800.0,106878.84,274.2271335
2025-10-18 14:00:00,106878.84,107095.12,106710.0,106998.36,354.38766
2025-10-18 15:00:00,106998.36,107124.85,106811.35,106935.41,121.3957275
2025-10-18 16:00:00,106935.41,107048.43,106475.0,106662.01,139.0629735
2025-10-18 17:00:00,106662.01,106956.62,106569.0,106874.06,85.7506485
2025-10-18 18:00:00,106874.06,106919.87,106719.19,106845.23,47.8100235
2025-10-18 19:00:00,106845.23,107087.78,106755.65,107067.41,45.450243
2025-10-18 20:00:00,107067.41,107333.09,106984.0,107001.09,98.9026935
2025-10-18 21:00:00,107001.09,107227.53,106842.26,107161.54,66.6232395
2025-10-18 22:00:00,107161.54,107287.2,107063.0,107110.43,43.315452
2025-10-18 23:00:00,107110.43,107200.99,107001.0,107180.37,33.143334
2025-10-19 00:00:00,107180.37,107276.96,106758.0,106897.74,104.373264
2025-10-19 01:00:00,106897.74,106998.09,106736.82,106973.9,57.551283
2025-10-19 02:00:00,106973.9,107009.19,106808.74,106852.0,54.4205175
2025-10-19 03:00:00,106852.0,107364.84,106801.33,107270.16,59.493666
2025-10-19 04:00:00,107270.16,107288.96,106988.3,107053.98,163.694952
2025-10-19 05:00:00,107053.98,107192.76,106816.13,106903.58,81.0846645
2025-10-19 06:00:00,106903.58,106923.93,106562.5,106779.01,76.734579
2025-10-19 07:00:00,106779.01,106926.16,106713.0,106796.91,39.7774365
2025-10-19 08:00:00,106796.91,107213.32,106261.14,106455.0,228.1162365
2025-10-19 09:00:00,106455.0,108182.05,106121.6,107406.59,714.7398615
2025-10-19 10:00:00,107406.59,107873.26,106993.59,107869.21,369.115929
2025-10-19 11:00:00,107869.21,108254.65,107602.4,107778.0,379.4068635
2025-10-19 12:00:00,107778.0,107856.73,107432.0,107636.2,135.634716
2025-10-19 13:00:00,107636.2,108239.59,107362.43,108087.92,153.8993105
2025-10-19 14:00:00,108087.92,108511.88,107878.59,108410.65,164.918739
2025-10-19 15:00:00,108410.65,108618.18,108342.01,108489.75,124.29232
2025-10-19 16:00:00,108489.75,108969.97,108253.0,108632.01,129.958321
2025-10-19 17:00:00,108632.01,109437.4,108615.26,109116.16,185.882394
2025-10-19 18:00:00,109116.16,109440.67,109040.0,109387.21,110.373166
2025-10-19 19:00:00,109387.21,109387.21,108799.4,108908.28,98.687894
2025-10-19 20:00:00,108908.28,108990.98,108806.94,108838.63,54.381298
2025-10-19 21:00:00,108838.63,108865.38,108611.36,108747.0,59.777128
2025-10-19 22:00:00,108747.0,109371.33,108747.0,109151.29,87.958558
2025-10-19 23:00:00,109151.29,109151.3,108478.01,108652.56,83.853575
2025-10-20 00:00:00,108652.56,108652.56,107423.0,108058.56,145.647182
2025-10-20 01:00:00,108058.56,108285.71,107894.0,108053.16,77.739733
2025-10-20 02:00:00,108053.16,108967.78,107854.0,108764.69,138.695163
2025-10-20 03:00:00,108764.69,110434.18,108565.17,110143.79,234.218883
2025-10-20 04:00:00,110143.79,110528.0,109945.01,110430.68,169.913874
2025-10-20 05:00:00,110430.68,111112.2,110300.0,111023.28,144.200548
2025-10-20 06:00:00,111023.28,111372.49,110997.01,111287.8,138.287434
2025-10-20 07:00:00,111287.8,111415.18,111035.8,111157.8,149.605096
2025-10-20 08:00:00,111157.8,111642.4,110927.6,111083.25,133.158304
2025-10-20 09:00:00,111083.25,111195.87,110700.02,110966.1,117.444756
2025-10-20 10:00:00,110966.1,111109.46,110661.0,110748.3,120.706994
2025-10-20 11:00:00,110748.3,111036.98,110618.62,111020.32,110.883149
2025-10-20 12:00:00,111020.32,111219.1,110789.0,110851.0,97.272546
2025-10-20 13:00:00,110851.0,111212.5,110602.41,111163.92,146.434422
2025-10-20 14:00:00,111163.92,111387.89,110736.17,111212.99,143.324666
2025-10-20 15:00:00,111212.99,111723.02,111010.61,111145.33,179.353724
2025-10-20 16:00:00,111145.33,111310.0,110119.64,110692.38,243.469995
2025-10-20 17:00:00,110692.38,111084.97,109860.47,110289.57,141.679727
2025-10-20 18:00:00,110289.57,110963.37,110217.0,110931.24,102.997487
2025-10-20 19:00:00,110931.24,111067.11,110533.71,110803.97,126.59242
2025-10-20 20:00:00,110803.97,111277.44,110656.75,111088.97,90.734614
2025-10-20 21:00:00,111088.97,111238.48,110469.0,110573.39,60.376726
2025-10-20 22:00:00,110573.39,110870.9,110415.0,110794.47,50.81891
2025-10-20 23:00:00,110794.47,110828.78,110520.73,110533.12,42.696283
2025-10-21 00:00:00,110533.12,110533.13,110167.0,110450.56,66.46669
2025-10-21 01:00:00,110450.56,110491.15,109563.64,109857.0,125.120646
2025-10-21 02:00:00,109857.0,109921.47,109307.48,109511.8,107.878034
2025-10-21 03:00:00,109511.8,109622.7,109065.94,109067.47,83.807242
2025-10-21 04:00:00,109067.47,109067.47,107647.06,107793.0,260.15756
2025-10-21 05:00:00,107793.0,107985.16,107475.06,107554.08,182.980274
2025-10-21 06:00:00,107554.08,108202.76,107505.69,107908.03,155.342511
2025-10-21 07:00:00,107908.03,108197.91,107650.31,108082.16,142.234023
2025-10-21 08:00:00,108082.16,108102.97,107483.2,107690.7,188.704414
2025-10-21 09:00:00,107690.7,107872.72,107536.42,107750.4,142.946204
2025-10-21 10:00:00,107750.4,108816.79,107571.95,108501.33,254.901337
2025-10-21 11:00:00,108501.33,108633.42,108157.0,108573.26,212.238062
2025-10-21 12:00:00,108573.26,109481.5,108469.71,108786.14,365.319486
2025-10-21 13:00:00,108786.14,108908.81,107924.76,108427.49,459.107291
2025-10-21 14:00:00,108427.49,112298.62,108403.34,112170.09,696.730749
2025-10-21 15:00:00,112170.09,113562.5,111731.18,113418.73,474.763008
2025-10-21 16:00:00,113418.73,113994.97,112447.37,112545.66,508.559153
2025-10-21 17:00:00,112545.66,112993.92,111800.0,112016.47,585.081483
2025-10-21 18:00:00,112016.47,112300.0,111335.59,111989.44,426.545259
2025-10-21 19:00:00,111989.44,112200.0,111566.47,111778.0,374.372343
2025-10-21 20:00:00,111778.0,111803.32,110550.74,110786.94,393.357257
2025-10-21 21:00:00,110786.94,111129.84,110120.0,110822.81,343.639502
2025-10-21 22:00:00,110822.81,110822.81,108300.0,109066.52,658.986145
2025-10-21 23:00:00,109066.52,109423.12,108029.92,108304.04,411.46729
2025-10-22 00:00:00,108304.04,108653.66,107840.47,107982.01,313.351487
2025-10-22 01:00:00,107982.01,108473.33,107982.0,108372.4,263.451774
2025-10-22 02:00:00,108372.4,108685.13,108217.52,108217.64,141.837051
2025-10-22 03:00:00,108217.64,108232.75,107875.26,108231.47,448.392075
2025-10-22 04:00:00,108231.47,108638.88,108164.32,108618.56,69.02886
2025-10-22 05:00:00,108618.56,108644.74,107887.0,108170.67,120.599064
2025-10-22 06:00:00,108170.67,108335.33,107955.02,107989.08,122.021654
2025-10-22 07:00:00,107989.08,108332.78,107615.17,108326.46,138.016097
2025-10-22 08:00:00,108326.46,108357.71,108085.18,108227.72,50.99959
2025-10-22 09:00:00,108227.72,108275.88,107773.0,107962.87,87.464252
2025-10-22 10:00:00,107962.87,108112.93,107648.0,107663.5,58.585419
