time,open,high,low,close,volume
2025-06-15 16:00:00,105551.18,105759.07,105086.15,105285.67,421.0345992812
2025-06-15 20:00:00,105285.67,105613.46,104501.22,105600.0,513.0340381532
2025-06-16 00:00:00,105600.0,105957.69,105000.0,105918.25,502.9456792378
2025-06-16 04:00:00,105918.25,107240.96,105894.0,107031.41,599.3620681364
2025-06-16 08:00:00,107031.41,107230.79,106590.0,106877.6,554.678191385
2025-06-16 12:00:00,106877.6,107746.03,106508.97,107426.0,981.6568170374
2025-06-16 16:00:00,107426.0,108853.19,107313.91,108628.5,738.2442816642
2025-06-16 20:00:00,108628.5,108957.2,106689.66,106787.99,1021.4818628908
2025-06-17 00:00:00,106787.99,107727.27,106138.11,107579.87,1102.6471281768
2025-06-17 04:00:00,107579.87,107673.83,106478.96,106751.92,341.7628561948
2025-06-17 08:00:00,106751.92,106811.77,105528.01,105660.95,723.1049837086
2025-06-17 12:00:00,105660.95,105872.58,104145.25,104259.67,1536.7568959964
2025-06-17 16:00:00,104259.67,105321.79,103399.96,104688.01,1420.723108016
2025-06-17 20:00:00,104688.01,104885.49,104210.54,104551.02,596.0523562266
2025-06-18 00:00:00,104551.02,105217.39,104375.0,105163.1,288.648711674
2025-06-18 04:00:00,105163.1,105520.0,104697.4,104922.0,357.5399233274
2025-06-18 08:00:00,104922.0,105257.35,104175.82,104804.21,635.872436676
2025-06-18 12:00:00,104804.21,105300.0,103791.58,104800.17,1327.4320785228
2025-06-18 16:00:00,104800.17,104828.77,103518.3,103825.54,1610.3947270842
2025-06-18 20:00:00,103825.54,105119.43,103676.27,104876.5,575.240722794
2025-06-19 00:00:00,104876.5,105205.8,104468.0,105100.94,353.3335031902
2025-06-19 04:00:00,105100.94,105226.06,104636.36,104651.61,275.2599833796
2025-06-19 08:00:00,104651.61,105047.0,104651.6,104774.01,368.5822935284
2025-06-19 12:00:00,104774.01,104900.0,104105.0,104105.0,644.537100247
2025-06-19 16:00:00,104105.0,104804.8,103954.38,104252.66,484.2470826182
2025-06-19 20:00:00,104252.66,104857.21,104144.55,104642.52,213.3872168056
2025-06-20 00:00:00,104642.52,104794.46,104400.0,104605.01,265.080191199
2025-06-20 04:00:00,104605.01,105771.06,104259.77,105771.06,414.6192477284
2025-06-20 08:00:00,105771.06,106492.46,105742.0,105971.14,1029.246488504
2025-06-20 12:00:00,105971.14,106138.33,103900.0,104222.0,1366.3104296916
2025-06-20 16:00:00,104222.0,104265.33,102340.01,103321.92,1644.482156665
2025-06-20 20:00:00,103321.92,103805.0,102970.4,103283.28,362.1976778716
2025-06-21 00:00:00,103283.28,103653.33,103128.0,103491.04,194.7674302196
2025-06-21 04:00:00,103491.04,103564.92,103310.0,103434.11,202.2064252348
2025-06-21 08:00:00,103434.11,103961.95,103434.1,103837.99,388.806588596
2025-06-21 12:00:00,103837.99,103908.52,103280.0,103550.39,374.290580727
2025-06-21 16:00:00,103550.39,103613.01,102218.98,102244.0,513.167192093
2025-06-21 20:00:00,102244.0,102871.72,100875.0,102107.05,1755.3122438952
2025-06-22 00:00:00,102107.05,103357.35,101830.0,102378.75,1459.076458496
2025-06-22 04:00:00,102378.75,102924.78,102271.0,102429.01,366.7693887714
2025-06-22 08:00:00,102429.01,102792.42,102079.6,102695.62,403.4251881376
2025-06-22 12:00:00,102695.62,102793.1,98903.6,98923.0,4690.5777168338
2025-06-22 16:00:00,98923.0,100377.73,98700.39,98893.0,1331.0367980832
2025-06-22 20:00:00,98893.0,101016.85,98200.0,100974.25,1415.125357365
2025-06-23 00:00:00,100974.25,101594.59,100504.0,101133.32,740.5411888138
2025-06-23 04:00:00,101133.32,102129.87,100972.7,101934.5,589.2923172736
2025-06-23 08:00:00,101934.5,102080.35,101119.4,101279.01,482.5291706968
2025-06-23 12:00:00,101279.01,102594.25,100810.0,101438.01,1548.515760887
2025-06-23 16:00:00,101438.01,103275.86,99654.46,103144.22,3172.4170806366
2025-06-23 20:00:00,103144.22,106057.36,102869.01,105344.01,2641.005016311
2025-06-24 00:00:00,105344.01,105479.74,104711.24,104929.0,664.3799329816
2025-06-24 04:00:00,104929.0,105826.49,104713.21,104985.79,890.760808973
2025-06-24 08:00:00,104985.79,105550.68,104642.0,105169.0,741.9674191608
2025-06-24 12:00:00,105169.0,105703.3,104806.63,105229.0,804.0661115234
2025-06-24 16:00:00,105229.0,106256.1,105189.0,105638.42,643.3940074786
2025-06-24 20:00:00,105638.42,106092.6,105434.0,106042.26,248.7471723382
2025-06-25 00:00:00,106042.26,106752.71,105783.41,106232.69,843.126624902
2025-06-25 04:00:00,106232.69,106682.76,106001.0,106593.53,250.6966619658
2025-06-25 08:00:00,106593.53,107198.7,106337.43,107164.91,854.9778906538
2025-06-25 12:00:00,107164.91,108110.62,106757.0,107017.98,1776.7803399536
2025-06-25 16:00:00,107017.98,107867.07,106899.99,107756.28,789.0238605226
2025-06-25 20:00:00,107756.28,107988.0,107062.01,107313.52,334.9313962024
