timestamp,datetime,open,high,low,close,volume,quoteVolume
1789808040000,2026-09-19T08:54:00.000Z,2649.59,2649.59,2644.4,2645.44,785.22,
1789808220000,2026-09-19T08:57:00.000Z,2645.44,2645.78,2641.73,2644.33,5021.33,
1789808400000,2026-09-19T09:00:00.000Z,2644.33,2647.82,2643.58,2647.82,1442.31,
1789808580000,2026-09-19T09:03:00.000Z,2647.82,2649.78,2647.33,2649.58,859.5,
1789808760000,2026-09-19T09:06:00.000Z,2649.58,2659.93,2649.58,2659.12,5255.63,
1789808940000,2026-09-19T09:09:00.000Z,2659.12,2659.14,2647.99,2648.96,3947.99,
1789809120000,2026-09-19T09:12:00.000Z,2648.96,2651.59,2648.03,2649.03,769.63,
1789809300000,2026-09-19T09:15:00.000Z,2649.03,2649.45,2648,2648.3,1425.27,
1789809480000,2026-09-19T09:18:00.000Z,2648.3,2652.37,2647.1,2652.15,805.02,
1789809660000,2026-09-19T09:21:00.000Z,2652.15,2652.53,2649.66,2650.07,565.21,
1789809840000,2026-09-19T09:24:00.000Z,2650.07,2652.11,2649,2649.64,596.12,
1789810020000,2026-09-19T09:27:00.000Z,2649.64,2650.06,2644.76,2645.82,4600.94,
1789810200000,2026-09-19T09:30:00.000Z,2645.82,2647.14,2639.47,2641.06,3200.41,
1789810380000,2026-09-19T09:33:00.000Z,2641.06,2641.61,2631.53,2632.63,3608.89,
1789810560000,2026-09-19T09:36:00.000Z,2632.63,2636.35,2631.71,2633.29,1480.02,
1789810740000,2026-09-19T09:39:00.000Z,2633.29,2636.27,2632.61,2633.7,4055.75,
1789810920000,2026-09-19T09:42:00.000Z,2633.7,2635.42,2633.29,2635.23,1086.73,
1789811100000,2026-09-19T09:45:00.000Z,2635.23,2639.5,2635.23,2638.92,572.43,
1789811280000,2026-09-19T09:48:00.000Z,2638.92,2641.99,2638.57,2641.39,1608.81,
1789811460000,2026-09-19T09:51:00.000Z,2641.39,2643.14,2638.45,2641.28,1743.6,
1789811640000,2026-09-19T09:54:00.000Z,2641.28,2643.72,2641,2641.57,1682.61,
